ra,dec
  334.90098 ,-13.33754 
  334.89301 ,-13.33958 
  334.88516 ,-13.34157 
  334.87742 ,-13.34351 
  334.86981 ,-13.34540 
  334.86232 ,-13.34723 
  334.85496 ,-13.34901 
  334.84773 ,-13.35074 
  334.84063 ,-13.35241 
  334.83366 ,-13.35402 
  334.82682 ,-13.35558 
  334.82013 ,-13.35708 
  334.81358 ,-13.35852 
  334.80717 ,-13.35991 
  334.80091 ,-13.36123 
  334.79479 ,-13.36249 
  334.78883 ,-13.36369 
  334.78302 ,-13.36483 
  334.77736 ,-13.36591 
  334.77186 ,-13.36693 
  334.76652 ,-13.36788 
  334.76133 ,-13.36876 
  334.75632 ,-13.36959 
  334.75146 ,-13.37034 
  334.74677 ,-13.37103 
  334.74225 ,-13.37166 
  334.73790 ,-13.37222 
  334.73373 ,-13.37271 
  334.72972 ,-13.37313 
  334.72589 ,-13.37349 
  334.72224 ,-13.37377 
  334.71876 ,-13.37399 
  334.71547 ,-13.37414 
  334.71235 ,-13.37422 
  334.70942 ,-13.37423 
  334.70666 ,-13.37417 
  334.70410 ,-13.37404 
  334.70172 ,-13.37384 
  334.69952 ,-13.37357 
  334.69751 ,-13.37323 
  334.69569 ,-13.37282 
  334.69406 ,-13.37233 
  334.69262 ,-13.37178 
  334.69137 ,-13.37115 
  334.69032 ,-13.37046 
  334.68945 ,-13.36969 
  334.68878 ,-13.36885 
  334.68829 ,-13.36794 
  334.68801 ,-13.36695 
  334.68791 ,-13.36590 
  334.68801 ,-13.36477 
  334.68831 ,-13.36358 
  334.68880 ,-13.36231 
  334.68948 ,-13.36097 
  334.69036 ,-13.35956 
  334.69143 ,-13.35809 
  334.69269 ,-13.35654 
  334.69415 ,-13.35492 
  334.69581 ,-13.35323 
  334.69765 ,-13.35147 
  334.69969 ,-13.34964 
  334.70192 ,-13.34775 
  334.70435 ,-13.34578 
  334.70696 ,-13.34375 
  334.70977 ,-13.34165 
  334.71277 ,-13.33948 
  334.71595 ,-13.33725 
  334.71933 ,-13.33495 
  334.72289 ,-13.33259 
  334.72663 ,-13.33015 
  334.73057 ,-13.32766 
  334.73468 ,-13.32510 
  334.73898 ,-13.32248 
  334.74347 ,-13.31979 
  334.74813 ,-13.31705 
  334.75297 ,-13.31424 
  334.75799 ,-13.31137 
  334.76319 ,-13.30844 
  334.76856 ,-13.30545 
  334.77410 ,-13.30240 
  334.77981 ,-13.29929 
  334.78570 ,-13.29613 
  334.79175 ,-13.29291 
  334.79797 ,-13.28963 
